유도탄 SN,일시,온도,습도,진동,위도,경도,분석값
E79051H0N147805,2022-01-03 8:00,-7.1,79,0,36.6,128.2,0
E79051H0N147805,2022-01-03 9:00,-4.7,71,0,36.6,128.2,0
E79051H0N147805,2022-01-03 10:00,-1.9,55,0,36.6,128.2,0
E79051H0N147805,2022-01-03 11:00,1.8,41,0,36.6,128.2,0
E79051H0N147805,2022-01-03 12:00,3.6,21,0,36.6,128.2,0
E79051H0N147805,2022-01-03 13:00,4.7,17,0,36.6,128.2,0
E79051H0N147805,2022-01-03 14:00,4.4,20,0,36.6,128.2,0
E79051H0N147805,2022-01-03 15:00,4.3,24,0,36.6,128.2,0
E79051H0N147805,2022-01-03 16:00,4,30,0,36.6,128.2,0
E79051H0N147805,2022-01-03 17:00,3,35,0,36.6,128.2,0
E79051H0N147805,2022-01-03 18:00,1.8,40,0,36.6,128.2,0
E79051H0N147805,2022-01-03 19:00,0.6,46,0,36.6,128.2,0
E79051H0N147805,2022-01-03 20:00,-0.4,52,0,36.6,128.2,0
E79051H0N147805,2022-01-03 21:00,-1.7,58,0,36.6,128.2,0
E79051H0N147805,2022-01-03 22:00,-2.7,62,0,36.6,128.2,0
E79051H0N147805,2022-01-03 23:00,-2.3,67,0,36.6,128.2,0
E79051H0N147805,2022-01-04 0:00,-1.3,64,0,36.6,128.2,0
E79051H0N147805,2022-01-04 1:00,-0.7,61,0,36.6,128.2,0
E79051H0N147805,2022-01-04 2:00,-0.8,64,0,36.6,128.2,0
E79051H0N147805,2022-01-04 3:00,-1.9,69,0,36.6,128.2,0
E79051H0N147805,2022-01-04 4:00,-1.1,67,0,36.6,128.2,0
E79051H0N147805,2022-01-04 5:00,-0.3,63,0,36.6,128.2,0
E79051H0N147805,2022-01-04 6:00,0.3,64,0,36.6,128.2,0
E79051H0N147805,2022-01-04 7:00,2.3,58,0,36.6,128.2,0
E79051H0N147805,2022-01-04 8:00,1.9,43,0,36.6,128.2,0
E79051H0N147805,2022-01-04 9:00,2.3,42,0,36.6,128.2,0
E79051H0N147805,2022-01-04 10:00,3.5,34,0,36.6,128.2,0
E79051H0N147805,2022-01-04 11:00,4.1,26,0,36.6,128.2,0
E79051H0N147805,2022-01-04 12:00,5.4,21,0,36.6,128.2,0
E79051H0N147805,2022-01-04 13:00,6.2,19,0,36.6,128.2,0
E79051H0N147805,2022-01-04 14:00,6.6,15,0,36.6,128.2,0
E79051H0N147805,2022-01-04 15:00,6.4,15,0,36.6,128.2,0
E79051H0N147805,2022-01-04 16:00,5.5,15,0,36.6,128.2,0
E79051H0N147805,2022-01-04 17:00,4.1,18,0,36.6,128.2,0
E79051H0N147805,2022-01-04 18:00,3.3,17,0,36.6,128.2,0
E79051H0N147805,2022-01-04 19:00,1.1,24,0,36.6,128.2,0
E79051H0N147805,2022-01-04 20:00,-0.1,26,0,36.6,128.2,0
E79051H0N147805,2022-01-04 21:00,-0.7,28,0,36.6,128.2,0
E79051H0N147805,2022-01-04 22:00,-2.4,37,0,36.6,128.2,0
E79051H0N147805,2022-01-04 23:00,-2.9,39,0,36.6,128.2,0
E79051H0N147805,2022-01-05 0:00,-3.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-05 1:00,-4.3,47,0,36.6,128.2,0
E79051H0N147805,2022-01-05 2:00,-4.4,45,0,36.6,128.2,0
E79051H0N147805,2022-01-05 3:00,-4.5,46,0,36.6,128.2,0
E79051H0N147805,2022-01-05 4:00,-5.5,55,0,36.6,128.2,0
E79051H0N147805,2022-01-05 5:00,-6.1,53,0,36.6,128.2,0
E79051H0N147805,2022-01-05 6:00,-5.2,50,0,36.6,128.2,0
E79051H0N147805,2022-01-05 7:00,-5.4,54,0,36.6,128.2,0
E79051H0N147805,2022-01-05 8:00,-4.5,57,0,36.6,128.2,0
E79051H0N147805,2022-01-05 9:00,-3.4,48,0,36.6,128.2,0
E79051H0N147805,2022-01-05 10:00,-1.9,41,0,36.6,128.2,0
E79051H0N147805,2022-01-05 11:00,0.1,33,0,36.6,128.2,0
E79051H0N147805,2022-01-05 12:00,1,31,0,36.6,128.2,0
E79051H0N147805,2022-01-05 13:00,2.1,29,0,36.6,128.2,0
E79051H0N147805,2022-01-05 14:00,2.8,28,0,36.6,128.2,0
E79051H0N147805,2022-01-05 15:00,3.1,31,0,36.6,128.2,0
E79051H0N147805,2022-01-05 16:00,3.4,32,0,36.6,128.2,0
E79051H0N147805,2022-01-05 17:00,3.5,33,0,36.6,128.2,0
E79051H0N147805,2022-01-05 18:00,3,36,0,36.6,128.2,0
E79051H0N147805,2022-01-05 19:00,2.5,39,0,36.6,128.2,0
E79051H0N147805,2022-01-05 20:00,2.1,43,0,36.6,128.2,0
E79051H0N147805,2022-01-05 21:00,1.7,44,0,36.6,128.2,0
E79051H0N147805,2022-01-05 22:00,1.4,48,0,36.6,128.2,0
E79051H0N147805,2022-01-05 23:00,1.4,49,0,36.6,128.2,0
E79051H0N147805,2022-01-06 0:00,1.4,49,0,36.6,128.2,0
E79051H0N147805,2022-01-06 1:00,0.2,55,0,36.6,128.2,0
E79051H0N147805,2022-01-06 2:00,-0.1,55,0,36.6,128.2,0
E79051H0N147805,2022-01-06 3:00,-0.6,59,0,36.6,128.2,0
E79051H0N147805,2022-01-06 4:00,-1.2,59,0,36.6,128.2,0
E79051H0N147805,2022-01-06 5:00,-2.3,64,0,36.6,128.2,0
E79051H0N147805,2022-01-06 6:00,-2.3,66,0,36.6,128.2,0
E79051H0N147805,2022-01-06 7:00,-1.8,63,0,36.6,128.2,0
E79051H0N147805,2022-01-06 8:00,-0.6,55,0,36.6,128.2,0
E79051H0N147805,2022-01-06 9:00,1.3,47,0,36.6,128.2,0
E79051H0N147805,2022-01-06 10:00,3.1,34,0,36.6,128.2,0
E79051H0N147805,2022-01-06 11:00,4.1,23,0,36.6,128.2,0
E79051H0N147805,2022-01-06 12:00,5.4,20,0,36.6,128.2,0
E79051H0N147805,2022-01-06 13:00,6.7,18,0,36.6,128.2,0
E79051H0N147805,2022-01-06 14:00,7.1,18,0,36.6,128.2,0
E79051H0N147805,2022-01-06 15:00,6.8,18,0,36.6,128.2,0
E79051H0N147805,2022-01-06 16:00,6,20,0,36.6,128.2,0
E79051H0N147805,2022-01-06 17:00,4.5,24,0,36.6,128.2,0
E79051H0N147805,2022-01-06 18:00,2.9,27,0,36.6,128.2,0
E79051H0N147805,2022-01-06 19:00,1.8,30,0,36.6,128.2,0
E79051H0N147805,2022-01-06 20:00,1,34,0,36.6,128.2,0
E79051H0N147805,2022-01-06 21:00,-0.7,39,0,36.6,128.2,0
E79051H0N147805,2022-01-06 22:00,-2,47,0,36.6,128.2,0
E79051H0N147805,2022-01-06 23:00,-2.7,48,0,36.6,128.2,0
E79051H0N147805,2022-01-07 0:00,-3.4,55,0,36.6,128.2,0
E79051H0N147805,2022-01-07 1:00,-4.1,58,0,36.6,128.2,0
E79051H0N147805,2022-01-07 2:00,-4.8,65,0,36.6,128.2,0
E79051H0N147805,2022-01-07 3:00,-5.6,66,0,36.6,128.2,0
E79051H0N147805,2022-01-07 4:00,-6.1,68,0,36.6,128.2,0
E79051H0N147805,2022-01-07 5:00,-6.6,70,0,36.6,128.2,0
E79051H0N147805,2022-01-07 6:00,-6.7,71,0,36.6,128.2,0
E79051H0N147805,2022-01-07 7:00,-7.3,76,0,36.6,128.2,0
E79051H0N147805,2022-01-07 8:00,-6.8,75,0,36.6,128.2,0
E79051H0N147805,2022-01-07 9:00,-5.2,66,0,36.6,128.2,0
E79051H0N147805,2022-01-07 10:00,-1.8,53,0,36.6,128.2,0
E79051H0N147805,2022-01-07 11:00,0.8,43,0,36.6,128.2,0
E79051H0N147805,2022-01-07 12:00,2.9,36,0,36.6,128.2,0
E79051H0N147805,2022-01-07 13:00,5,28,0,36.6,128.2,0
E79051H0N147805,2022-01-07 14:00,6.6,19,0,36.6,128.2,0
E79051H0N147805,2022-01-07 15:00,7.4,17,0,36.6,128.2,0
E79051H0N147805,2022-01-07 16:00,7.1,14,0,36.6,128.2,0
E79051H0N147805,2022-01-07 17:00,4.8,17,0,36.6,128.2,0
E79051H0N147805,2022-01-07 18:00,2.6,20,0,36.6,128.2,0
E79051H0N147805,2022-01-07 19:00,0.1,29,0,36.6,128.2,0
E79051H0N147805,2022-01-07 20:00,-0.4,33,0,36.6,128.2,0
E79051H0N147805,2022-01-07 21:00,-1.2,35,0,36.6,128.2,0
E79051H0N147805,2022-01-07 22:00,-2.1,37,0,36.6,128.2,0
E79051H0N147805,2022-01-07 23:00,-3,41,0,36.6,128.2,0
E79051H0N147805,2022-01-08 0:00,-3.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-08 1:00,-4.9,57,0,36.6,128.2,0
E79051H0N147805,2022-01-08 2:00,-4.9,52,0,36.6,128.2,0
E79051H0N147805,2022-01-08 3:00,-5.2,54,0,36.6,128.2,0
E79051H0N147805,2022-01-08 4:00,-5.7,58,0,36.6,128.2,0
E79051H0N147805,2022-01-08 5:00,-5.9,61,0,36.6,128.2,0
E79051H0N147805,2022-01-08 6:00,-6.3,63,0,36.6,128.2,0
E79051H0N147805,2022-01-08 7:00,-6.6,68,0,36.6,128.2,0
E79051H0N147805,2022-01-08 8:00,-5.8,64,0,36.6,128.2,0
E79051H0N147805,2022-01-08 9:00,-4.3,63,0,36.6,128.2,0
E79051H0N147805,2022-01-08 10:00,-0.4,49,0,36.6,128.2,0
E79051H0N147805,2022-01-08 11:00,4.4,25,0,36.6,128.2,0
E79051H0N147805,2022-01-08 12:00,5.9,23,0,36.6,128.2,0
E79051H0N147805,2022-01-08 13:00,7.2,22,0,36.6,128.2,0
E79051H0N147805,2022-01-08 14:00,7.7,23,0,36.6,128.2,0
E79051H0N147805,2022-01-08 15:00,7.2,28,0,36.6,128.2,0
E79051H0N147805,2022-01-08 16:00,6.6,33,0,36.6,128.2,0
E79051H0N147805,2022-01-08 17:00,5.5,38,0,36.6,128.2,0
E79051H0N147805,2022-01-08 18:00,4.4,43,0,36.6,128.2,0
E79051H0N147805,2022-01-08 19:00,1.6,52,0,36.6,128.2,0
E79051H0N147805,2022-01-08 20:00,1.5,55,0,36.6,128.2,0
E79051H0N147805,2022-01-08 21:00,2.7,55,0,36.6,128.2,0
E79051H0N147805,2022-01-08 22:00,2.2,58,0,36.6,128.2,0
E79051H0N147805,2022-01-08 23:00,2.7,60,0,36.6,128.2,0
E79051H0N147805,2022-01-09 0:00,3.4,58,0,36.6,128.2,0
E79051H0N147805,2022-01-09 1:00,1.3,66,0,36.6,128.2,0
E79051H0N147805,2022-01-09 2:00,0.2,70,0,36.6,128.2,0
E79051H0N147805,2022-01-09 3:00,0.2,74,0,36.6,128.2,0
E79051H0N147805,2022-01-09 4:00,0,76,0,36.6,128.2,0
E79051H0N147805,2022-01-09 5:00,-0.2,78,0,36.6,128.2,0
E79051H0N147805,2022-01-09 6:00,-0.5,78,0,36.6,128.2,0
E79051H0N147805,2022-01-09 7:00,-1.1,82,0,36.6,128.2,0
E79051H0N147805,2022-01-09 8:00,-0.5,80,0,36.6,128.2,0
E79051H0N147805,2022-01-09 9:00,0.9,75,0,36.6,128.2,0
E79051H0N147805,2022-01-09 10:00,3.3,67,0,36.6,128.2,0
E79051H0N147805,2022-01-09 11:00,6.1,59,0,36.6,128.2,0
E79051H0N147805,2022-01-09 12:00,6.6,54,0,36.6,128.2,0
E79051H0N147805,2022-01-09 13:00,7.5,49,0,36.6,128.2,0
E79051H0N147805,2022-01-09 14:00,8.3,46,0,36.6,128.2,0
E79051H0N147805,2022-01-09 15:00,7.3,49,0,36.6,128.2,0
E79051H0N147805,2022-01-09 16:00,7.6,47,0,36.6,128.2,0
E79051H0N147805,2022-01-09 17:00,6.4,51,0,36.6,128.2,0
E79051H0N147805,2022-01-09 18:00,3.5,62,0,36.6,128.2,0
E79051H0N147805,2022-01-09 19:00,2,67,0,36.6,128.2,0
E79051H0N147805,2022-01-09 20:00,0.6,72,0,36.6,128.2,0
E79051H0N147805,2022-01-09 21:00,-0.3,76,0,36.6,128.2,0
E79051H0N147805,2022-01-09 22:00,-0.6,78,0,36.6,128.2,0
E79051H0N147805,2022-01-09 23:00,-2,82,0,36.6,128.2,0
E79051H0N147805,2022-01-10 0:00,-2.4,83,0,36.6,128.2,0
E79051H0N147805,2022-01-10 1:00,-2.6,85,0,36.6,128.2,0
E79051H0N147805,2022-01-10 2:00,-3.3,87,0,36.6,128.2,0
E79051H0N147805,2022-01-10 3:00,-3.6,87,0,36.6,128.2,0
E79051H0N147805,2022-01-10 4:00,-4.2,89,0,36.6,128.2,0
E79051H0N147805,2022-01-10 5:00,-4.3,89,0,36.6,128.2,0
E79051H0N147805,2022-01-10 6:00,-4.6,89,0,36.6,128.2,0
E79051H0N147805,2022-01-10 7:00,-5,89,0,36.6,128.2,0
E79051H0N147805,2022-01-10 8:00,-4.7,89,0,36.6,128.2,0
E79051H0N147805,2022-01-10 9:00,-3.1,87,0,36.6,128.2,0
E79051H0N147805,2022-01-10 10:00,-0.4,77,0,36.6,128.2,0
E79051H0N147805,2022-01-10 11:00,2.4,65,0,36.6,128.2,0
E79051H0N147805,2022-01-10 12:00,3.8,55,0,36.6,128.2,0
E79051H0N147805,2022-01-10 13:00,5.6,48,0,36.6,128.2,0
E79051H0N147805,2022-01-10 14:00,6.7,45,0,36.6,128.2,0
E79051H0N147805,2022-01-10 15:00,7.8,42,0,36.6,128.2,0
E79051H0N147805,2022-01-10 16:00,7.9,41,0,36.6,128.2,0
E79051H0N147805,2022-01-10 17:00,7.3,40,0,36.6,128.2,0
E79051H0N147805,2022-01-10 18:00,5.6,40,0,36.6,128.2,0
E79051H0N147805,2022-01-10 19:00,4.5,38,0,36.6,128.2,0
E79051H0N147805,2022-01-10 20:00,4.8,35,0,36.6,128.2,0
E79051H0N147805,2022-01-10 21:00,5,34,0,36.6,128.2,0
E79051H0N147805,2022-01-10 22:00,4.8,37,0,36.6,128.2,0
E79051H0N147805,2022-01-10 23:00,4.4,40,0,36.6,128.2,0
E79051H0N147805,2022-01-11 0:00,3.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-11 1:00,3.2,50,0,36.6,128.2,0
E79051H0N147805,2022-01-11 2:00,2.5,59,0,36.6,128.2,0
E79051H0N147805,2022-01-11 3:00,2.2,62,0,36.6,128.2,0
E79051H0N147805,2022-01-11 4:00,2.3,66,0,36.6,128.2,0
E79051H0N147805,2022-01-11 5:00,1.3,70,0,36.6,128.2,0
E79051H0N147805,2022-01-11 6:00,0.1,59,0,36.6,128.2,0
E79051H0N147805,2022-01-11 7:00,-0.5,58,0,36.6,128.2,0
E79051H0N147805,2022-01-11 8:00,-1.8,40,0,36.6,128.2,0
E79051H0N147805,2022-01-11 9:00,-2.3,39,0,36.6,128.2,0
E79051H0N147805,2022-01-11 10:00,-2,40,0,36.6,128.2,0
E79051H0N147805,2022-01-11 11:00,-1,33,0,36.6,128.2,0
E79051H0N147805,2022-01-11 12:00,-0.1,25,0,36.6,128.2,0
E79051H0N147805,2022-01-11 13:00,0.2,24,0,36.6,128.2,0
E79051H0N147805,2022-01-11 14:00,1.1,23,0,36.6,128.2,0
E79051H0N147805,2022-01-11 15:00,0.2,25,0,36.6,128.2,0
E79051H0N147805,2022-01-11 16:00,-0.1,26,0,36.6,128.2,0
E79051H0N147805,2022-01-11 17:00,-1.4,30,0,36.6,128.2,0
E79051H0N147805,2022-01-11 18:00,-2.6,35,0,36.6,128.2,0
E79051H0N147805,2022-01-11 19:00,-3.4,38,0,36.6,128.2,0
E79051H0N147805,2022-01-11 20:00,-3.5,39,0,36.6,128.2,0
E79051H0N147805,2022-01-11 21:00,-4.2,45,0,36.6,128.2,0
E79051H0N147805,2022-01-11 22:00,-4.8,49,0,36.6,128.2,0
E79051H0N147805,2022-01-11 23:00,-5.2,51,0,36.6,128.2,0
E79051H0N147805,2022-01-12 0:00,-5.4,52,0,36.6,128.2,0
E79051H0N147805,2022-01-12 1:00,-5.5,54,0,36.6,128.2,0
E79051H0N147805,2022-01-12 2:00,-5.7,54,0,36.6,128.2,0
E79051H0N147805,2022-01-12 3:00,-6,56,0,36.6,128.2,0
E79051H0N147805,2022-01-12 4:00,-6.7,55,0,36.6,128.2,0
E79051H0N147805,2022-01-12 5:00,-6.8,54,0,36.6,128.2,0
E79051H0N147805,2022-01-12 6:00,-7,54,0,36.6,128.2,0
E79051H0N147805,2022-01-12 7:00,-7.3,57,0,36.6,128.2,0
E79051H0N147805,2022-01-12 8:00,-7.3,59,0,36.6,128.2,0
E79051H0N147805,2022-01-12 9:00,-5.6,53,0,36.6,128.2,0
E79051H0N147805,2022-01-12 10:00,-4.1,45,0,36.6,128.2,0
E79051H0N147805,2022-01-12 11:00,-2.6,40,0,36.6,128.2,0
E79051H0N147805,2022-01-12 12:00,-0.7,33,0,36.6,128.2,0
E79051H0N147805,2022-01-12 13:00,-0.2,30,0,36.6,128.2,0
E79051H0N147805,2022-01-12 14:00,0.2,26,0,36.6,128.2,0
E79051H0N147805,2022-01-12 15:00,1.2,24,0,36.6,128.2,0
E79051H0N147805,2022-01-12 16:00,0.8,23,0,36.6,128.2,0
E79051H0N147805,2022-01-12 17:00,-0.1,27,0,36.6,128.2,0
E79051H0N147805,2022-01-12 18:00,-0.9,33,0,36.6,128.2,0
E79051H0N147805,2022-01-12 19:00,-1.1,40,0,36.6,128.2,0
E79051H0N147805,2022-01-12 20:00,-1.6,42,0,36.6,128.2,0
E79051H0N147805,2022-01-12 21:00,-1.3,33,0,36.6,128.2,0
E79051H0N147805,2022-01-12 22:00,-2.3,32,0,36.6,128.2,0
E79051H0N147805,2022-01-12 23:00,-3.1,32,0,36.6,128.2,0
E79051H0N147805,2022-01-13 0:00,-3.5,33,0,36.6,128.2,0
E79051H0N147805,2022-01-13 1:00,-3.6,34,0,36.6,128.2,0
E79051H0N147805,2022-01-13 2:00,-4,36,0,36.6,128.2,0
E79051H0N147805,2022-01-13 3:00,-4.5,40,0,36.6,128.2,0
E79051H0N147805,2022-01-13 4:00,-5.4,47,0,36.6,128.2,0
E79051H0N147805,2022-01-13 5:00,-6,55,0,36.6,128.2,0
E79051H0N147805,2022-01-13 6:00,-6.9,57,0,36.6,128.2,0
E79051H0N147805,2022-01-13 7:00,-4.6,57,0,36.6,128.2,0
E79051H0N147805,2022-01-13 8:00,-4.1,54,0,36.6,128.2,0
E79051H0N147805,2022-01-13 9:00,-3.2,52,0,36.6,128.2,0
E79051H0N147805,2022-01-13 10:00,-2.6,51,0,36.6,128.2,0
E79051H0N147805,2022-01-13 11:00,-1,35,0,36.6,128.2,0
E79051H0N147805,2022-01-13 12:00,-0.3,26,0,36.6,128.2,0
E79051H0N147805,2022-01-13 13:00,0.5,23,0,36.6,128.2,0
E79051H0N147805,2022-01-13 14:00,0.5,25,0,36.6,128.2,0
E79051H0N147805,2022-01-13 15:00,0.4,25,0,36.6,128.2,0
E79051H0N147805,2022-01-13 16:00,0,26,0,36.6,128.2,0
E79051H0N147805,2022-01-13 17:00,-1.1,30,0,36.6,128.2,0
E79051H0N147805,2022-01-13 18:00,-1.8,34,0,36.6,128.2,0
E79051H0N147805,2022-01-13 19:00,-2.4,37,0,36.6,128.2,0
E79051H0N147805,2022-01-13 20:00,-2.8,40,0,36.6,128.2,0
E79051H0N147805,2022-01-13 21:00,-3.3,44,0,36.6,128.2,0
E79051H0N147805,2022-01-13 22:00,-3.7,46,0,36.6,128.2,0
E79051H0N147805,2022-01-13 23:00,-4.2,49,0,36.6,128.2,0
E79051H0N147805,2022-01-14 0:00,-4.7,46,0,36.6,128.2,0
E79051H0N147805,2022-01-14 1:00,-5.3,39,0,36.6,128.2,0
E79051H0N147805,2022-01-14 2:00,-6.1,37,0,36.6,128.2,0
E79051H0N147805,2022-01-14 3:00,-6.5,39,0,36.6,128.2,0
E79051H0N147805,2022-01-14 4:00,-6.8,40,0,36.6,128.2,0
E79051H0N147805,2022-01-14 5:00,-6.2,37,0,36.6,128.2,0
E79051H0N147805,2022-01-14 6:00,-6.8,39,0,36.6,128.2,0
E79051H0N147805,2022-01-14 7:00,-6.9,42,0,36.6,128.2,0
E79051H0N147805,2022-01-14 8:00,-6.2,45,0,36.6,128.2,0
E79051H0N147805,2022-01-14 9:00,-4.1,38,0,36.6,128.2,0
E79051H0N147805,2022-01-14 10:00,-2.8,33,0,36.6,128.2,0
E79051H0N147805,2022-01-14 11:00,-0.9,30,0,36.6,128.2,0
E79051H0N147805,2022-01-14 12:00,0.3,26,0,36.6,128.2,0
E79051H0N147805,2022-01-14 13:00,1.8,24,0,36.6,128.2,0
E79051H0N147805,2022-01-14 14:00,3.4,21,0,36.6,128.2,0
E79051H0N147805,2022-01-14 15:00,3.3,19,0,36.6,128.2,0
E79051H0N147805,2022-01-14 16:00,3.4,19,0,36.6,128.2,0
E79051H0N147805,2022-01-14 17:00,1.9,21,0,36.6,128.2,0
E79051H0N147805,2022-01-14 18:00,-0.8,31,0,36.6,128.2,0
E79051H0N147805,2022-01-14 19:00,-1.6,33,0,36.6,128.2,0
E79051H0N147805,2022-01-14 20:00,-2.3,35,0,36.6,128.2,0
E79051H0N147805,2022-01-14 21:00,-3.4,40,0,36.6,128.2,0
E79051H0N147805,2022-01-14 22:00,-3.9,43,0,36.6,128.2,0
E79051H0N147805,2022-01-14 23:00,-4.4,44,0,36.6,128.2,0
E79051H0N147805,2022-01-15 0:00,-4.2,44,0,36.6,128.2,0
E79051H0N147805,2022-01-15 1:00,-5,49,0,36.6,128.2,0
E79051H0N147805,2022-01-15 2:00,-5.2,53,0,36.6,128.2,0
E79051H0N147805,2022-01-15 3:00,-5.2,51,0,36.6,128.2,0
E79051H0N147805,2022-01-15 4:00,-5.7,52,0,36.6,128.2,0
E79051H0N147805,2022-01-15 5:00,-6,52,0,36.6,128.2,0
E79051H0N147805,2022-01-15 6:00,-5.7,53,0,36.6,128.2,0
E79051H0N147805,2022-01-15 7:00,-6,59,0,36.6,128.2,0
E79051H0N147805,2022-01-15 8:00,-5.6,56,0,36.6,128.2,0
E79051H0N147805,2022-01-15 9:00,-4.1,50,0,36.6,128.2,0
E79051H0N147805,2022-01-15 10:00,-2.5,46,0,36.6,128.2,0
E79051H0N147805,2022-01-15 11:00,-0.7,39,0,36.6,128.2,0
E79051H0N147805,2022-01-15 12:00,2.8,26,0,36.6,128.2,0
E79051H0N147805,2022-01-15 13:00,4.1,22,0,36.6,128.2,0
E79051H0N147805,2022-01-15 14:00,6.8,20,0,36.6,128.2,0
E79051H0N147805,2022-01-15 15:00,7.9,22,0,36.6,128.2,0
E79051H0N147805,2022-01-15 16:00,7,34,0,36.6,128.2,0
E79051H0N147805,2022-01-15 17:00,6.2,39,0,36.6,128.2,0
E79051H0N147805,2022-01-15 18:00,3.8,44,0,36.6,128.2,0
E79051H0N147805,2022-01-15 19:00,1.3,54,0,36.6,128.2,0
E79051H0N147805,2022-01-15 20:00,0.6,58,0,36.6,128.2,0
E79051H0N147805,2022-01-15 21:00,0.4,62,0,36.6,128.2,0
E79051H0N147805,2022-01-15 22:00,0.8,61,0,36.6,128.2,0
E79051H0N147805,2022-01-15 23:00,0.7,63,0,36.6,128.2,0
E79051H0N147805,2022-01-16 0:00,0.7,64,0,36.6,128.2,0
E79051H0N147805,2022-01-16 1:00,0.7,63,0,36.6,128.2,0
E79051H0N147805,2022-01-16 2:00,0.6,64,0,36.6,128.2,0
